EPOCH,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,SEMIMAJOR_AXIS,OBJECT_TYPE,RCS_SIZE,LAUNCH_DATE
1635694337.0,82.9193,299.112,158.9093,201.3337,26743,7358.038,DEBRIS,SMALL,1979.0
1635675084.0,98.4781,8.7205,37.3771,323.1632,26754,7015.076,DEBRIS,SMALL,1999.0
1635698806.0,98.4232,122.0724,345.1605,27.6061,26755,7031.4,DEBRIS,SMALL,1999.0
1635738683.0,98.7597,287.9689,54.53,306.3803,26756,7141.674,DEBRIS,SMALL,1999.0
1635706455.0,100.3344,151.9642,291.8206,198.6383,26816,7451.758,DEBRIS,SMALL,1966.0
1635550867.0,88.8479,230.9806,55.4822,305.0279,26817,7393.346,DEBRIS,SMALL,1966.0
1635723469.0,82.9319,33.4606,71.2613,289.2282,26818,7363.53,PAYLOAD,LARGE,2001.0
1635720109.0,82.9284,16.3871,19.6453,153.353,26819,7357.591,ROCKET BODY,LARGE,2001.0
1635669339.0,100.0116,342.9046,189.2787,298.5577,26821,7170.536,DEBRIS,SMALL,1970.0
1635691493.0,99.7002,243.6049,286.9136,196.6204,26822,7705.508,DEBRIS,SMALL,1975.0
1635762740.0,100.0888,137.6819,336.2081,53.1771,26823,7448.063,DEBRIS,SMALL,1975.0
1635733711.0,99.6437,64.4113,26.5411,95.1307,26826,7648.207,DEBRIS,SMALL,1975.0
1635660620.0,99.6563,306.8513,259.8336,113.8816,26827,7529.584,DEBRIS,SMALL,1975.0
1635469287.0,99.5663,170.3579,348.2958,163.3719,26828,7298.474,DEBRIS,SMALL,1975.0
1635705075.0,99.599,278.9487,208.1746,274.608,26829,7602.035,DEBRIS,SMALL,1975.0
1635676860.0,99.7157,182.9813,163.509,320.3791,26830,7552.604,DEBRIS,SMALL,1975.0
1635715765.0,99.8015,333.6759,358.3483,119.9751,26831,7402.311,DEBRIS,SMALL,1975.0
1635696746.0,99.627,276.4075,319.7435,219.1328,26832,7965.496,DEBRIS,SMALL,1975.0
1635692416.0,99.6973,94.2584,32.3576,31.3798,26833,7747.121,DEBRIS,SMALL,1975.0
1635671913.0,99.948,15.7072,163.5278,210.6485,26834,7514.136,DEBRIS,SMALL,1975.0
1635692153.0,99.6737,96.4395,209.4246,164.0269,26835,7366.338,DEBRIS,SMALL,1975.0
1635592902.0,99.9042,52.5809,276.4096,95.2561,26836,7537.734,DEBRIS,SMALL,1975.0
1635645604.0,99.7373,257.0313,162.5324,332.0662,26837,7623.712,DEBRIS,SMALL,1975.0
1635499266.0,99.2269,304.4889,335.8977,183.1248,26838,7667.295,DEBRIS,SMALL,1975.0
1635694422.0,100.0137,243.7099,290.4781,188.0848,26839,7524.261,DEBRIS,SMALL,1975.0
1635596510.0,99.7126,62.0388,112.2992,6.7788,26840,7750.064,DEBRIS,SMALL,1975.0
1635596139.0,99.9121,69.8799,320.0833,98.4937,26841,7699.483,DEBRIS,SMALL,1975.0
1635691940.0,99.6999,234.1804,343.6907,134.7671,26842,7370.973,DEBRIS,SMALL,1975.0
1635668860.0,99.7729,250.2922,108.8411,18.2103,26843,7555.981,DEBRIS,SMALL,1975.0
1635683606.0,99.7712,208.1187,25.2221,95.5619,26844,7414.015,DEBRIS,SMALL,1975.0
1635710939.0,99.1694,169.2073,323.761,46.9132,26845,7781.088,DEBRIS,SMALL,1975.0
1635652675.0,99.7607,91.7787,247.8717,291.116,26846,7593.555,DEBRIS,SMALL,1975.0
1635586353.0,99.8534,25.7662,244.8861,126.0726,26847,7536.436,DEBRIS,SMALL,1975.0
1635687709.0,81.2801,51.9869,71.8747,288.4035,26848,7239.203,DEBRIS,SMALL,1975.0
1635737196.0,98.6123,274.0938,243.1849,115.8925,26861,7175.762,DEBRIS,SMALL,1978.0
1635705955.0,64.9639,64.0625,73.9769,6.9515,26911,7303.546,DEBRIS,SMALL,1981.0
1635680417.0,67.0014,238.1694,224.9334,135.1328,26930,7167.346,PAYLOAD,MEDIUM,2001.0
1635696339.0,67.0504,288.7761,275.3764,84.6685,26931,7167.729,PAYLOAD,MEDIUM,2001.0
1635674502.0,67.0552,294.2008,271.2647,88.7999,26932,7168.621,PAYLOAD,MEDIUM,2001.0
1635728933.0,97.7917,79.5931,315.6095,44.2196,26957,6907.338,PAYLOAD,LARGE,2001.0
1635734432.0,97.7874,260.713,26.744,333.7535,26958,6958.001,PAYLOAD,MEDIUM,2001.0
1635685214.0,97.7823,16.701,108.6576,251.5652,26959,6824.39,PAYLOAD,MEDIUM,2001.0
1635675204.0,97.8254,312.962,136.0791,224.4793,26960,6917.255,ROCKET BODY,LARGE,2001.0
1635701730.0,100.3465,127.0163,302.9242,69.8008,26962,7456.319,DEBRIS,SMALL,1966.0
1635709433.0,71.0,342.1058,342.2843,192.4746,26968,7161.947,DEBRIS,SMALL,1993.0
1635711985.0,71.1117,170.0689,310.9606,61.262,26980,7110.57,DEBRIS,SMALL,1992.0
1635598247.0,73.5985,138.6665,137.2231,282.0502,26982,7874.895,DEBRIS,SMALL,1987.0
1635715074.0,66.0423,2.4007,277.5037,255.2677,26997,7703.562,PAYLOAD,LARGE,2001.0
1635715058.0,74.0744,14.7852,293.8881,66.2042,26998,6981.151,PAYLOAD,LARGE,2001.0
1635701636.0,66.0408,305.3696,300.503,231.7985,27000,7700.588,DEBRIS,LARGE,2001.0
1635689372.0,99.6471,86.2203,198.8066,171.9078,27001,7381.823,PAYLOAD,LARGE,2001.0
1635736880.0,99.5786,80.6906,154.4606,330.8263,27002,7376.462,PAYLOAD,MEDIUM,2001.0
1635693007.0,99.5854,80.0899,155.8508,204.3609,27003,7376.769,PAYLOAD,MEDIUM,2001.0
1635693135.0,99.5924,80.4874,159.9988,214.4016,27004,7377.171,PAYLOAD,MEDIUM,2001.0
1635717055.0,99.5457,80.2192,144.8266,215.4153,27005,7374.736,PAYLOAD,MEDIUM,2001.0
1635692108.0,99.5448,76.6578,122.0378,249.6576,27006,7374.228,ROCKET BODY,LARGE,2001.0
1635731283.0,99.3303,90.8913,60.5178,299.7299,27007,7359.311,DEBRIS,SMALL,2001.0
1635705912.0,82.5482,231.3606,96.7552,263.4781,27055,7801.766,PAYLOAD,MEDIUM,2001.0
1635758340.0,82.5408,219.7954,78.3929,281.7959,27056,7798.956,PAYLOAD,MEDIUM,2001.0
1635705737.0,82.5473,215.6238,26.6206,333.4937,27057,7794.643,PAYLOAD,MEDIUM,2001.0
1635757566.0,82.5396,205.228,215.141,144.9546,27058,7792.711,PAYLOAD,MEDIUM,2001.0
1635741289.0,82.5447,214.2197,87.5932,272.5466,27059,7794.906,PAYLOAD,MEDIUM,2001.0
1635746682.0,82.5447,200.6039,169.2581,190.868,27060,7788.692,PAYLOAD,MEDIUM,2001.0
1635719675.0,82.5405,280.4419,279.8842,105.1813,27061,7826.214,ROCKET BODY,LARGE,2001.0
1635690423.0,97.9739,253.2902,257.7912,277.8666,27089,6975.185,DEBRIS,MEDIUM,2001.0
1635708322.0,97.5571,151.9199,175.0413,185.0936,27097,6689.109,DEBRIS,SMALL,2001.0
1635693496.0,97.7681,343.7243,175.2645,184.8896,27119,6903.71,DEBRIS,SMALL,2001.0
1635703992.0,97.1787,320.5127,104.3806,256.1438,27121,6871.063,DEBRIS,SMALL,2001.0
1635657871.0,97.4108,46.4725,98.9012,261.7372,27123,7057.2,DEBRIS,SMALL,2001.0
1635706698.0,98.2072,304.2336,140.7615,340.6462,27124,7005.727,DEBRIS,MEDIUM,2001.0
1635690918.0,98.2354,271.2192,48.262,5.7971,27126,6972.971,DEBRIS,MEDIUM,2001.0
1635705517.0,97.6109,281.0171,2.5443,41.8822,27127,6949.858,DEBRIS,MEDIUM,2001.0
1635718898.0,97.7147,88.364,113.6535,246.9963,27128,6894.283,DEBRIS,SMALL,2001.0
1635704376.0,97.9537,320.6008,187.2748,347.1088,27129,6970.183,DEBRIS,SMALL,2001.0
1635704471.0,98.2339,292.9525,138.2611,342.0214,27130,7013.673,DEBRIS,MEDIUM,2001.0
1635733176.0,97.8157,314.6699,147.7697,282.8508,27132,6917.112,DEBRIS,SMALL,2001.0
1635704811.0,97.6109,323.6336,229.8657,129.8651,27133,7059.474,DEBRIS,SMALL,2001.0
1635710982.0,98.0917,318.1427,180.913,299.264,27136,6977.204,DEBRIS,SMALL,2001.0
1635699492.0,98.1564,289.5401,332.9456,72.9558,27141,7000.11,DEBRIS,MEDIUM,2001.0
1635692962.0,97.3812,256.4527,133.5427,229.0049,27142,7236.431,DEBRIS,SMALL,2001.0
1635710575.0,98.242,320.2113,19.6946,101.4708,27146,7012.99,DEBRIS,SMALL,2001.0
