object1,object2,time
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1655815201.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1655886101.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1655964101.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1656035001.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1656113001.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1656183901.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1656261901.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1656332801.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1656410801.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1656481701.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1656559701.0
"[ 1.63577160e+09  1.25285583e+02  7.97700300e+06 -6.60833301e+06
 -1.71765040e+06 -4.12458347e+06]","[ 1.65577160e+09  2.82497457e+01  7.97046000e+06 -7.61714863e+05
 -7.40633998e+06  2.84502216e+06]",1656630601.0
