object1,object2,time
"[ 1.67520960e+09  4.39598485e+04  6.85206100e+06 -6.79694575e+06
 -8.53788557e+05  1.52687532e+05]","[ 1.67520960e+09  8.55546521e+01  6.84980400e+06 -6.84836298e+06
 -1.23026531e+05 -6.78513111e+04]",1675210200
"[ 1.67520960e+09  4.39297025e+04  6.85219700e+06 -6.82468556e+06
 -4.60099988e+05  4.05683051e+05]","[ 1.67520960e+09  8.55546521e+01  6.84980400e+06 -6.84836298e+06
 -1.23026531e+05 -6.78513111e+04]",1675210500
"[ 1.67520960e+09  4.39297025e+04  6.85219700e+06 -6.82499792e+06
 -4.95395601e+05 -3.55795307e+05]","[ 1.67520960e+09  8.55546521e+01  6.84980400e+06 -6.84836298e+06
 -1.23026531e+05 -6.78513111e+04]",1675210600
"[ 1.67520960e+09  4.39735233e+04  6.85114100e+06  6.81996281e+06
 -3.64525850e+05  5.41628259e+05]","[ 1.67520960e+09  8.55546521e+01 -6.84980400e+06  6.84836298e+06
  1.23026531e+05 -6.76721901e+04]",1675210800
"[1.67520960e+09 4.39735233e+04 6.85114100e+06 6.77682332e+06
 2.63807360e+05 9.71187123e+05]","[ 1.67520960e+09  4.39297025e+04 -6.85219700e+06  6.82468556e+06
  4.60099988e+05  4.05504044e+05]",1675210900
"[ 1.67520960e+09  4.39964505e+04  6.85052500e+06  6.81551239e+06
 -5.32379709e+05 -4.41650891e+05]","[ 1.67520960e+09  8.55546521e+01 -6.84980400e+06  6.84836298e+06
  1.23026531e+05 -6.76721901e+04]",1675211000
"[ 1.67520960e+09  4.39322155e+04  6.85191400e+06  6.84880692e+06
  1.53941348e+05 -1.37373071e+05]","[ 1.67520960e+09  4.39598485e+04 -6.85206100e+06  6.79694575e+06
  8.53788557e+05  1.52506091e+05]",1675211100
"[1.67520960e+09 4.39322155e+04 6.85191400e+06 6.82087085e+06
 1.88451061e+05 6.23644504e+05]","[ 1.67520960e+09  8.55546521e+01 -6.84980400e+06  6.84836298e+06
  1.23026531e+05 -6.76721901e+04]",1675211200
"[1.67520960e+009 8.55546521e+001 6.84980400e+006 1.78368170e-303
 1.78368169e-303 1.78368169e-303]","[1.63572332e+09 4.21241149e+00 6.84807600e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675211300
"[1.67520960e+009 8.55546521e+001 6.84980400e+006 2.49267017e-303
 2.49267016e-303 2.49267016e-303]","[1.63572332e+09 4.21241149e+00 6.84807600e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675211400
"[1.67520960e+009 8.55546521e+001 6.84980400e+006 3.17077652e-303
 3.17077652e-303 3.17077652e-303]","[1.63572332e+09 4.21241149e+00 6.84807600e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675211500
"[1.67520960e+009 8.55546521e+001 6.84980400e+006 3.80959959e-303
 3.80959959e-303 3.80959959e-303]","[1.63572332e+09 4.21241149e+00 6.84807600e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675211600
"[ 1.67520960e+09  4.39407675e+04  6.85107000e+06 -6.65899994e+06
 -5.23971323e+05  1.52326428e+06]","[ 1.67520960e+09  4.39735233e+04 -6.85114100e+06 -6.77682332e+06
 -2.63807360e+05  9.71004674e+05]",1675211700
"[ 1.67520960e+09  4.39831950e+04  6.84962200e+06 -6.69360239e+06
 -1.45342877e+06  2.35236357e+04]","[ 1.67520960e+09  4.39598485e+04  6.85206100e+06 -6.79694575e+06
 -8.53788557e+05  1.52328837e+05]",1675211800
